idna_subject,checker_type,destination,source,tested_at,session_id
1.0.214.202,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.387828,712809d96b863dfb0ecc47e0
1.1.1.1,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.394208,712809d96b863dfb0ecc47e0
1.1.176.123,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.394761,712809d96b863dfb0ecc47e0
1.1.197.87,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.395321,712809d96b863dfb0ecc47e0
1.1.221.157,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.395878,712809d96b863dfb0ecc47e0
1.10.156.102,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.396446,712809d96b863dfb0ecc47e0
1.10.156.99,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.397018,712809d96b863dfb0ecc47e0
1.10.159.252,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.397603,712809d96b863dfb0ecc47e0
1.10.159.46,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.398204,712809d96b863dfb0ecc47e0
1.100.18.90,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.398820,712809d96b863dfb0ecc47e0
1.101.88.249,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.399473,712809d96b863dfb0ecc47e0
1.109.106.221,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.400109,712809d96b863dfb0ecc47e0
1.109.125.143,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.400760,712809d96b863dfb0ecc47e0
1.109.26.76,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.401430,712809d96b863dfb0ecc47e0
1.11.201.19,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.402109,712809d96b863dfb0ecc47e0
1.119.0.247,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.402801,712809d96b863dfb0ecc47e0
1.119.10.198,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.403536,712809d96b863dfb0ecc47e0
1.119.12.115,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.404258,712809d96b863dfb0ecc47e0
1.119.128.170,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.404991,712809d96b863dfb0ecc47e0
1.119.140.98,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.405741,712809d96b863dfb0ecc47e0
1.119.145.114,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.406509,712809d96b863dfb0ecc47e0
1.119.145.66,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.407309,712809d96b863dfb0ecc47e0
1.119.146.18,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.408103,712809d96b863dfb0ecc47e0
1.119.146.187,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.408909,712809d96b863dfb0ecc47e0
1.119.192.195,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.409729,712809d96b863dfb0ecc47e0
1.119.3.58,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.410568,712809d96b863dfb0ecc47e0
1.119.4.99,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.411447,712809d96b863dfb0ecc47e0
1.119.43.90,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.412306,712809d96b863dfb0ecc47e0
1.119.55.10,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.413175,712809d96b863dfb0ecc47e0
1.122.213.206,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.414065,712809d96b863dfb0ecc47e0
1.123.152.229,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.414988,712809d96b863dfb0ecc47e0
1.144.196.99,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.415909,712809d96b863dfb0ecc47e0
1.160.113.250,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.416836,712809d96b863dfb0ecc47e0
1.160.113.47,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.417771,712809d96b863dfb0ecc47e0
1.160.113.79,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.418725,712809d96b863dfb0ecc47e0
1.160.115.145,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.419728,712809d96b863dfb0ecc47e0
1.160.116.146,AVAILABILITY,domains.list,domains.list,2001-07-01 20:28:50.420719,712809d96b863dfb0ecc47e0
